,Word,count,anger,sad,anx,posemo,negemo,tone,total_counts,main_emotion,emotion,negative_emotion
1604,wound,7,2.5414285714285714,0.0,0.29714285714285715,2.8042857142857147,4.4799999999999995,29.580000000000005,14,anger,negemo,anger
1605,supportive,7,2.217142857142857,0.0,0.0,7.36,4.031428571428571,63.498571428571424,14,posemo,posemo,anger
1606,bob,7,3.508571428571429,1.077142857142857,0.0,2.8228571428571425,4.909999999999999,24.584285714285716,14,anger,negemo,anger
1607,terry,7,1.8885714285714286,0.0,0.0,3.972857142857142,3.3799999999999994,37.63428571428572,14,posemo,posemo,anger
1608,grand,7,0.39714285714285713,0.39714285714285713,0.6528571428571429,7.342857142857143,3.8642857142857143,62.08857142857143,14,posemo,posemo,anx
1609,definition,7,2.25,0.0,0.55,2.317142857142857,4.417142857142857,22.32,14,anger,negemo,anger
1610,statistic,7,2.337142857142857,0.0,0.0,2.2485714285714287,3.7157142857142857,15.34,14,anger,negemo,anger
1611,exchange,7,1.7657142857142858,0.0,0.3657142857142857,5.2871428571428565,2.82,53.660000000000004,14,posemo,posemo,anger
1612,pure,7,0.7057142857142856,0.0,0.0,1.9685714285714284,2.742857142857143,27.771428571428572,14,anger,negemo,anger
1613,edge,7,1.1071428571428572,0.43285714285714283,0.0,1.844285714285714,4.677142857142857,11.700000000000001,14,anger,negemo,anger
1614,border,7,3.3399999999999994,0.33999999999999997,0.2914285714285714,2.8542857142857136,4.942857142857142,31.54714285714286,14,anger,negemo,anger
1615,unbelievable,7,3.6514285714285712,0.0,0.0,1.4257142857142855,7.094285714285713,11.597142857142858,14,anger,negemo,anger
1616,whenever,7,2.2014285714285715,0.0,0.6,2.3114285714285714,4.602857142857142,12.774285714285714,14,anger,negemo,anger
1617,entirely,7,1.0371428571428571,0.6799999999999999,0.6014285714285714,3.117142857142857,3.307142857142857,44.87,14,anger,negemo,anger
1618,willingly,7,0.9071428571428571,1.6099999999999999,0.42,3.1885714285714286,3.811428571428571,35.62285714285714,14,sad,negemo,sad
1619,willies,7,4.665714285714286,0.0,0.0,0.0,4.945714285714287,1.0,14,anger,negemo,anger
1620,york,7,2.0414285714285714,0.0,0.0,2.1257142857142854,2.0414285714285714,43.629999999999995,14,posemo,posemo,anger
1621,reflection,7,0.7842857142857144,0.35714285714285715,0.4757142857142857,3.5500000000000003,2.2057142857142855,46.48,14,posemo,posemo,anger
1622,worried,7,2.27,0.7414285714285713,4.974285714285714,3.4,8.617142857142857,18.53857142857143,14,anx,negemo,anx
1623,therefore,7,2.0785714285714283,0.0,0.31,1.4357142857142857,2.997142857142857,16.02285714285714,14,anger,negemo,anger
1624,better,7,1.2328571428571427,0.0,0.33999999999999997,4.691428571428572,2.02,69.77857142857142,14,posemo,posemo,anger
1625,immigration,7,2.3957142857142855,0.33999999999999997,1.0814285714285714,4.274285714285715,5.161428571428571,32.53857142857143,14,anger,negemo,anger
1626,quick,7,1.5514285714285714,1.4842857142857144,0.4614285714285714,4.8999999999999995,4.992857142857143,43.35857142857143,14,anger,negemo,anger
1627,holy,7,4.354285714285714,0.0,0.0,1.8528571428571428,5.390000000000001,22.262857142857143,14,anger,negemo,anger
1628,sob,7,1.0257142857142856,5.935714285714286,0.3242857142857143,0.8142857142857143,8.564285714285715,10.118571428571428,14,sad,negemo,sad
1629,grace,7,0.51,0.51,1.0985714285714285,7.231428571428572,3.548571428571429,73.41571428571429,14,posemo,posemo,anx
1630,thus,7,1.2857142857142858,0.38571428571428573,1.2114285714285715,1.657142857142857,4.6085714285714285,31.161428571428576,14,anger,negemo,anger
1631,award,7,1.4842857142857144,0.3657142857142857,0.6900000000000001,7.562857142857143,3.5157142857142856,70.70857142857143,14,posemo,posemo,anger
1632,farce,7,0.65,0.0,0.55,1.9042857142857144,2.5285714285714285,29.74857142857143,14,anger,negemo,anger
1633,addition,7,0.9185714285714285,0.0,0.0,3.537142857142857,2.46,48.36857142857143,14,posemo,posemo,anger
1634,awareness,7,2.047142857142857,0.8957142857142857,0.4757142857142857,5.215714285714285,4.859999999999999,44.112857142857145,14,posemo,posemo,anger
1635,reprehensible,7,1.3057142857142858,0.5957142857142858,0.5957142857142858,3.1785714285714284,4.3742857142857146,40.30714285714286,14,anger,negemo,anger
1636,revelation,7,2.267142857142857,0.0,0.0,2.2600000000000002,2.88,36.790000000000006,14,anger,negemo,anger
1637,blow,7,1.5914285714285714,0.6414285714285715,0.43285714285714283,1.907142857142857,3.597142857142857,15.34,14,anger,negemo,anger
1638,sneak,7,1.1357142857142857,0.5742857142857142,0.2557142857142857,3.0928571428571425,3.051428571428571,35.47714285714286,14,posemo,posemo,anger
1639,unlike,7,2.981428571428571,0.0,0.6342857142857142,1.8028571428571427,4.265714285714286,15.457142857142856,14,anger,negemo,anger
1640,barely,7,2.051428571428571,0.8242857142857142,0.5342857142857144,0.8028571428571428,4.838571428571428,13.502857142857142,14,anger,negemo,anger
1641,invite,7,0.8200000000000001,0.0,0.0,2.0685714285714285,1.3299999999999998,43.01,14,posemo,posemo,anger
1642,transparency,7,1.0742857142857143,0.0,0.0,3.8685714285714288,1.7814285714285716,49.818571428571424,14,posemo,posemo,anger
1643,fantastic,7,2.988571428571429,0.0,0.0,7.717142857142858,5.278571428571429,46.598571428571425,14,posemo,posemo,anger
1644,dream,7,1.7871428571428571,1.874285714285714,0.27999999999999997,3.755714285714286,4.868571428571428,33.818571428571424,14,sad,negemo,sad
1645,anybody,7,2.674285714285714,0.7185714285714285,0.0,1.1514285714285712,3.6785714285714284,8.461428571428572,14,anger,negemo,anger
1646,consensual,7,1.3085714285714285,0.0,0.6085714285714285,1.0657142857142856,2.837142857142857,22.62857142857143,14,anger,negemo,anger
1647,prefer,7,1.0885714285714285,0.5957142857142858,1.4285714285714286,3.02,4.24,46.24285714285714,14,anx,negemo,anx
1648,legit,7,1.4514285714285715,0.35714285714285715,0.0,6.508571428571428,3.4871428571428575,42.89714285714285,14,posemo,posemo,anger
1649,minimum,7,2.072857142857143,0.33285714285714285,0.9671428571428573,2.8842857142857143,4.868571428571428,21.225714285714282,14,anger,negemo,anger
1650,exploitation,7,3.0414285714285714,1.1428571428571428,2.1657142857142855,1.772857142857143,7.662857142857143,15.284285714285714,14,anger,negemo,anger
1651,photo,7,0.0,0.0,0.0,5.7299999999999995,0.33285714285714285,74.9342857142857,14,posemo,posemo,anger
1652,legally,7,4.1414285714285715,0.0,0.64,2.4385714285714286,5.525714285714286,16.908571428571427,14,anger,negemo,anger
1653,reconsider,7,0.39714285714285713,0.51,0.0,5.565714285714285,1.292857142857143,63.885714285714286,14,posemo,posemo,sad
1654,flat,7,4.121428571428571,0.0,0.6085714285714285,3.085714285714286,5.581428571428572,22.077142857142857,14,anger,negemo,anger
1655,smash,7,2.2471428571428573,0.0,0.33999999999999997,2.182857142857143,3.1828571428571424,42.104285714285716,14,anger,negemo,anger
1656,outrageous,7,6.574285714285714,0.43285714285714283,0.7985714285714286,2.597142857142857,9.97857142857143,4.781428571428571,14,anger,negemo,anger
1657,security,7,3.3957142857142855,0.33999999999999997,1.3328571428571425,4.4,4.76,32.30571428571428,14,anger,negemo,anger
1658,victory,7,1.4242857142857142,0.0,0.40857142857142853,1.455714285714286,3.1785714285714284,22.150000000000002,14,anger,negemo,anger
1659,h,7,2.8542857142857145,0.30428571428571427,0.0,1.447142857142857,3.4614285714285713,7.477142857142858,14,anger,negemo,anger
1660,plaint,7,1.7485714285714287,0.7328571428571429,1.45,1.4842857142857144,5.014285714285714,8.680000000000001,14,anger,negemo,anger
1661,eat,7,2.4371428571428573,0.31,0.31,3.4728571428571433,3.0585714285714287,25.945714285714285,14,posemo,posemo,anger
1662,conclusion,7,2.2085714285714286,0.0,0.0,1.262857142857143,3.5328571428571425,19.28857142857143,14,anger,negemo,anger
1663,rude,7,6.181428571428571,0.38571428571428573,0.7857142857142857,2.3814285714285712,8.999999999999998,1.7657142857142858,14,anger,negemo,anger
1664,specifically,7,1.352857142857143,0.31714285714285717,0.4614285714285714,1.49,3.077142857142857,26.93285714285714,14,anger,negemo,anger
1665,brush,7,3.2199999999999998,0.0,0.9400000000000001,2.031428571428571,4.728571428571428,12.005714285714285,14,anger,negemo,anger
1666,aid,7,0.96,0.0,0.0,3.8042857142857147,1.52,64.31714285714285,14,posemo,posemo,anger
1667,excellent,7,1.3857142857142857,0.0,0.31714285714285717,8.768571428571429,2.4528571428571424,71.85714285714285,14,posemo,posemo,anger
1668,vast,7,3.267142857142857,0.0,0.2914285714285714,1.4385714285714286,4.271428571428571,39.642857142857146,14,anger,negemo,anger
1669,mum,7,0.9085714285714285,0.0,0.5599999999999999,2.77,2.4371428571428573,44.23,14,posemo,posemo,anger
1670,egregious,7,3.2771428571428567,0.0,0.0,2.4842857142857144,3.9771428571428573,22.411428571428576,14,anger,negemo,anger
1671,disgraceful,7,3.081428571428571,0.6428571428571429,1.9385714285714286,3.4714285714285715,10.64,15.188571428571427,14,anger,negemo,anger
1672,virgin,7,3.0799999999999996,0.6485714285714286,0.0,0.6671428571428571,4.837142857142857,8.83,14,anger,negemo,anger
1673,shin,7,1.22,0.0,0.0,2.414285714285714,1.8785714285714283,38.41428571428572,14,posemo,posemo,anger
1674,dig,7,2.5428571428571423,0.0,0.6799999999999999,1.2057142857142857,4.0928571428571425,21.55,14,anger,negemo,anger
1675,city,7,3.4114285714285706,0.8128571428571428,0.6671428571428571,4.4471428571428575,5.652857142857143,41.57714285714286,14,anger,negemo,anger
1676,essay,7,1.0614285714285714,0.0,0.0,1.17,1.8557142857142854,26.135714285714283,14,anger,negemo,anger
1677,buddy,7,2.1385714285714283,0.6085714285714285,0.0,5.041428571428571,6.062857142857142,33.14857142857143,14,anger,negemo,anger
1678,air,7,2.7514285714285713,0.51,0.65,1.3,4.684285714285714,37.214285714285715,14,anger,negemo,anger
1679,donate,7,1.5057142857142856,1.1171428571428572,1.437142857142857,3.2885714285714287,4.724285714285714,35.790000000000006,14,anger,negemo,anger
