,Hashtag,Count
0,metoo,17500
1,timesup,694
2,kavanaugh,656
3,rape,579
4,stopkavanaugh,458
5,whyididntreport,440
6,abuse,363
7,believesurvivors,341
8,kavanaughhearings,336
9,rapeculture,261
10,christineblaseyford,211
11,ibelievechristineblaseyford,205
12,believewomen,181
13,resist,174
14,harassment,173
15,trump,141
16,scotus,132
17,maga,128
18,gop,128
19,ibelieveher,124
20,sexualabuse,123
21,sexualharassment,122
22,ibelievechristine,121
23,women,113
24,sexualassault,92
25,drchristineblaseyford,89
26,brettkavanaugh,88
27,nokavanaugh,77
28,kavanaughconfirmation,74
29,resistance,71
30,victimblaming,69
31,ibelievesurvivors,69
32,theresistance,68
33,kavano,68
34,drford,68
35,survivor,66
36,bluewave,65
37,kavanope,64
38,postponethevote,63
39,msnbc,63
40,blacklivesmatter,62
41,cnn,62
42,walkaway,59
43,anitahill,57
44,istandwithchristineblaseyford,56
45,feminism,56
46,voteblue,55
47,blm,53
48,bluewave2018,53
49,impeachtrump,52
50,confirmkavanaugh,52
51,democrats,52
52,votethemout,51
53,asiaargento,48
54,ibelievedrford,47
55,delaythevote,46
56,stopkanavaugh,46
57,himtoo,46
58,fraud,44
59,billcosby,44
60,foxnews,44
61,whydidntireport,43
62,istandwithchristine,43
63,mentoo,43
64,cancelkavanaugh,42
65,tanushreedutta,41
66,womensrights,40
67,confirmkavanaughnow,39
68,metoomovement,38
69,votebluetosaveamerica,37
70,enoughisenough,37
71,neveragain,36
72,notokavanaugh,36
73,cdnpoli,35
74,basta,34
75,dearprofessorford,34
76,dropcbs,34
77,kavanagh,33
78,nokavanaughconfirmation,32
79,ptsd,31
80,withdrawkavanaugh,31
81,whyididntreportit,31
82,fbi,30
83,churchtoo,30
84,daca,30
85,believesurviviors,30
86,impersonation,29
87,misogyny,29
88,survivors,29
89,kavanaughconfirmationhearings,28
90,metoomvmt,28
91,vote,28
92,dems,28
93,whywomendontreport,28
94,voteno,27
95,domesticviolence,27
96,supremecourt,27
97,wapo,27
98,usa,27
99,blaseyford,26
100,hypocrisy,25
101,noonkavanaugh,25
102,nytimes,25
103,aarp,25
104,bb20,25
105,survivorculture,25
106,notmypresident,25
107,believechristine,24
108,fbr,24
109,republican,24
110,marchforourlives,24
111,p2,24
112,enough,24
113,sexual,24
114,republicans,24
115,harveyweinstein,23
116,hypocrite,23
117,kavanaughhearing,23
118,ford,23
119,mentalhealth,23
120,shame,23
121,webelievechristine,23
122,potus,23
123,ibelievechristineford,23
124,judgekavanaugh,22
125,hypocrites,22
126,truth,22
127,lesmoonves,22
128,justice,22
129,votenoonkavanaugh,22
130,victim,22
131,racism,21
132,believesurviors,21
133,kavanaughvote,21
134,fbiinvestigationnow,21
135,kavanaughford,21
136,tcot,21
137,lgbtq,21
138,cbs,21
139,consent,21
140,christineford,20
141,investigatekavanaugh,20
142,npr,20
143,crime,20
144,bbc,20
145,trumprussia,20
146,children,20
147,whataretheyhiding,20
148,feminist,20
149,equality,20
150,ibelieveyou,20
151,istandwithdrford,19
152,christinablaseyford,19
153,lgbt,19
154,cosby,19
155,fakenews,19
156,fbimustinvestigate,19
157,kavanaughconfirmationhearing,19
158,corruption,19
159,nomeansno,19
160,kavanaughwithdraw,19
161,millenials,19
162,kavenaugh,19
163,merrickgarland,18
164,jimjordan,18
165,brettkavanuagh,18
166,womensmarch,18
167,veterans,18
168,lesbian,18
169,senatejudiciarycommittee,18
170,henrycavill,18
171,congress,18
172,keithellison,18
173,nexa,18
174,scross,18
175,maruti,18
176,stopkavanaughnow,17
177,wsj,17
178,familiesbelongtogether,17
179,kanavaughhearings,17
180,news,17
181,catholicchurch,17
182,hollywood,17
183,notme,16
184,ibelieveblaseyford,16
185,scam,16
186,cnbc,16
187,politico,16
188,huffpost,16
189,drudge,16
190,webelievesurvivors,16
191,stopkavanagh,16
192,morningjoe,16
193,csa,16
194,humanrights,16
195,womenriseup,16
196,jimjordanmustresign,16
197,maddow,16
198,violence,16
199,putin,16
200,kavanaghhearing,16
201,rapist,16
202,imwithher,16
203,womenarewatching,15
204,mgtow,15
205,weinstein,15
206,america,15
207,ccot,15
208,patriarchy,15
209,nomore,15
210,woman,15
211,victimshaming,15
212,india,15
213,bluewavecoming2018,15
214,mondaymotivation,15
215,jeffflake,15
216,votebluenomatterwho,14
217,thursdaythoughts,14
218,resign,14
219,christineblasleyford,14
220,womenempowerment,14
221,markjudge,14
222,muslims,14
223,puertorico,14
