,Word,count,anger,sad,anx,posemo,negemo,tone,total_counts,emotion,negative_emotion,main_emotion
0,rape,571,9.128984238178653,0.23416812609457094,1.1369702276707532,2.482434325744308,11.722697022767079,7.084816112084061,571,negemo,anger,anger
1,abuse,439,6.68227790432803,0.6766514806378129,0.49337129840546695,2.4383143507972678,9.631321184510266,8.547562642369023,439,negemo,anger,anger
2,like,377,2.1897877984084873,0.426551724137931,0.3843766578249336,3.6892307692307713,4.318541114058357,35.30530503978789,377,negemo,anger,anger
3,get,344,3.045319767441862,0.4273255813953488,0.3434302325581394,2.8804941860465116,5.084127906976747,26.346017441860532,344,negemo,anger,anger
4,flirt,309,0.8008090614886729,0.1838834951456311,0.2886084142394822,8.517928802589003,1.8015857605177992,79.76475728155349,309,posemo,anger,posemo
5,people,267,2.8723220973782784,0.5104868913857677,0.329625468164794,3.155842696629215,5.388202247191016,26.230786516853982,267,negemo,anger,anger
6,movement,266,1.581691729323308,0.5789097744360902,0.2487593984962406,2.4327443609022557,3.726578947368422,30.42875939849633,266,negemo,anger,anger
7,say,242,2.549462809917355,0.5272314049586776,0.2583884297520661,3.0373553719008255,4.618636363636362,30.81293388429756,242,negemo,anger,anger
8,men,230,3.286956521739132,0.43634782608695644,0.4695652173913043,2.573130434782608,5.826652173913044,22.411826086956538,230,negemo,anger,anger
9,go,228,2.3633771929824565,0.5897807017543858,0.33521929824561403,2.8427192982456133,4.2667982456140345,31.623377192982517,228,negemo,anger,anger
10,know,223,2.1500896860986543,0.3360538116591928,0.3497757847533632,3.33067264573991,4.046233183856501,37.25390134529154,223,negemo,anger,anger
11,one,214,2.467476635514018,0.3194859813084112,0.24892523364485986,2.952196261682243,4.2021028037383195,34.85443925233649,214,negemo,anger,anger
12,think,210,1.8403809523809513,0.4938571428571429,0.29980952380952386,3.2465238095238105,3.8803333333333327,33.465190476190514,210,negemo,anger,anger
13,time,197,2.5448730964467012,0.49284263959390867,0.2034010152284264,2.7696446700507606,4.20467005076142,29.617664974619334,197,negemo,anger,anger
14,harassment,194,6.985154639175265,0.5847938144329897,0.3175257731958763,2.179123711340206,9.07494845360825,9.96824742268041,194,negemo,anger,anger
15,would,187,2.4676470588235295,0.40978609625668455,0.2892513368983957,3.002620320855613,4.180106951871658,33.078609625668484,187,negemo,anger,anger
16,see,176,2.0609090909090906,0.38153409090909096,0.19482954545454545,2.8257954545454544,3.631363636363636,35.583920454545485,176,negemo,anger,anger
17,make,173,2.3096531791907515,0.638728323699422,0.47965317919075146,3.2649710982658973,4.517398843930637,30.7618497109827,173,negemo,anger,anger
18,ge,167,7.0129341317365235,0.19137724550898202,0.15209580838323353,0.17149700598802395,8.21041916167664,3.602694610778443,167,negemo,anger,anger
19,also,166,2.98746987951807,0.3067469879518072,0.2219879518072289,3.6857228915662628,4.926927710843371,24.454397590361427,166,negemo,anger,anger
20,sexual,165,3.8888484848484848,0.20690909090909088,0.2633939393939394,2.1725454545454546,6.110909090909091,19.46351515151515,165,negemo,anger,anger
21,want,153,2.2994117647058823,0.40477124183006546,0.4087581699346405,2.3305228758169934,4.532875816993463,26.09725490196078,153,negemo,anger,anger
22,stop,147,3.09938775510204,0.3468027210884354,0.45306122448979597,4.358299319727892,5.056122448979593,37.043061224489826,147,negemo,anger,anger
23,need,146,2.571849315068492,0.36171232876712334,0.3742465753424657,2.473698630136984,4.868972602739727,26.080890410958904,146,negemo,anger,anger
24,use,141,3.5705673758865233,0.3699290780141844,0.35468085106382985,2.5229787234042544,5.909574468085107,20.654609929078003,141,negemo,anger,anger
25,many,138,2.0563768115942023,0.6584782608695652,0.3842753623188406,2.628478260869565,4.243768115942028,28.40224637681159,138,negemo,anger,anger
