,Hashtag,Count
0,metoo,1946
1,rape,425
2,abuse,306
3,harassment,148
4,usa,125
5,indonesian,107
6,brazil,97
7,indian,94
8,chinese,92
9,pakistan,90
10,metooindia,89
11,metooincest,85
12,japanese,85
13,ge,83
14,nigerian,70
15,sexualharassment,49
16,metooinceste,44
17,mentoo,43
18,children,42
19,rapeculture,39
20,muslim,37
21,sex,37
22,blm,35
23,sexualabuse,32
24,film,32
25,allah,30
26,crime,30
27,muslims,28
28,victimblaming,28
29,nigeria,27
30,domesticviolence,27
31,sin,26
32,women,24
33,testicles,24
34,fbi,24
35,romance,24
36,movies,24
37,india,23
38,humanrights,23
39,kissing,23
40,smooching,23
41,students,23
42,bad,23
43,china,22
44,changeforclimate,22
45,fraud,21
46,abusehasnogender,21
47,incest,21
48,fcpa,21
49,abortion,20
50,streetharassment,20
51,russia,19
52,domesticabuse,19
53,corruption,19
54,believeallwomen,18
55,islam,18
56,gop,18
57,ethiopian,17
58,tigray,17
59,ncis,17
60,navy,16
61,un,16
62,russian,16
63,metoovoter,16
64,murder,15
65,nzpol,15
66,help,15
67,womensrights,15
68,mahsaamini,14
69,blacklivesmatter,14
70,peace,14
71,pain,14
72,sexualassault,14
73,childsexualabuse,14
74,slut,13
75,mentalhealth,13
76,m2w,13
77,france,13
78,germany,13
79,christianity,13
80,blood,12
81,die,12
82,student,12
83,half,12
84,jesus,12
85,navytoo,12
86,misogyny,12
87,johnnydepp,12
88,tigraygenocide,12
89,girls,12
90,amberheard,12
91,justice,12
92,feminism,11
93,police,11
94,believewomen,11
95,cnc,11
96,justice4tigrayswomenandgirls,11
97,torture,11
98,upenn,11
99,econtwitter,11
100,econotw,11
101,eritrea,11
102,uae,11
103,childrape,11
104,men,10
105,grooming,10
106,nsfwtwt,10
107,hadith,10
108,prophetmuhammad,10
109,gravest,10
110,lengths,10
111,talking,10
112,unjustly,10
113,honour,10
114,major,10
115,abusing,10
116,once,10
117,sunan,10
118,ashendatigray,10
119,ukraine,10
120,twitter,10
121,survivor,10
122,philippines,10
123,trauma,10
124,msgop,10
125,okgop,10
126,flgop,10
127,txgop,10
128,algop,10
129,victim,9
130,unitednations,9
131,genocide,9
132,girl,9
133,whistleblower,9
134,worship,9
135,ruthgeorge,9
136,changeixnow,9
137,weasourselves,9
138,news,9
139,الامارات,9
140,شيخ_سيف_بن_زايد,9
141,تستر_على_جريمة_اغتصاب,9
142,mogop,9
143,rapekink,9
144,scam,9
145,cptsd,8
146,pedophilia,8
147,churchtoo,8
148,bb24,8
149,america,8
150,ptsd,8
151,csa,8
152,narcissist,8
153,مهسا_امینی,8
154,quran,8
155,quranhour,8
156,expect,8
157,last,8
158,day,8
159,commit,8
160,earth,8
161,spreading,8
162,love,8
163,timesup,8
164,japan,8
165,icc,8
166,mpd,8
167,rapebait,7
168,weinstein,7
169,canada,7
170,south,7
171,unethical,7
172,cancelculture,7
173,racism,7
174,tigrayunderattack,7
175,roevswade,7
176,coercivecontrol,7
177,war,7
178,feminist,7
179,bilkisbano,7
180,gangs,7
181,childabuse,7
182,violence,6
183,victims,6
184,notme,6
185,debt,6
186,inflation,6
187,bordercrisis,6
188,mentalhealthmatters,6
189,assault,6
190,johnnydeppkeepswinning,6
191,johnnydeppisasurvivor,6
192,me,6
193,neverforget,6
194,vietnamese,6
195,opiran,6
196,nomeansno,6
197,thedefendant,6
198,loveisland,6
199,bradpittisanabuser,6
200,consent,6
201,rapeme,6
202,rapist,6
203,white,6
204,taofu,6
205,cults,6
206,hollywood,5
207,sextrade,5
208,bangladeshi,5
209,labour,5
210,elonmusk,5
211,mybody,5
212,dontcare,5
213,unfair,5
214,studentloandebt,5
215,recession,5
216,disease,5
217,drugs,5
218,demsdontcare,5
219,bully,5
220,nfl,5
221,cuckold,5
222,animalabuse,5
223,amberheardlsaliar,5
224,toxic,5
225,awareness,5
226,speakup,5
227,parentalalienation,5
228,intel,5
229,truth,5
230,tokyo,5
231,犯罪,5
232,汚職,5
233,政治,5
234,internationalterrorism,5
235,indiana,5
236,narcissisticabuse,5
237,evidence_available,5
238,alcohol,5
239,discrimination,5
240,eritrean,5
241,shameful,5
242,rapevictim,5
243,slave,5
244,mybodymychoice,5
245,femboy,4
246,compassion,4
247,mentalhealthawareness,4
248,mexican,4
249,mentalabuse,4
250,trump,4
251,accountability,4
252,browns,4
253,respect,4
254,mentalillness,4
255,brokenrecord,4
256,god,4
257,mexico,4
258,femdom,4
259,498a,4
260,food,4
261,world,4
262,hawaii,4
263,military,4
264,kink,4
265,suffering,4
266,reproducing,4
267,unemployment,4
268,naturalresources,4
269,pollution,4
270,deppvsheard,4
271,justiceforjohnnydepp,4
272,johnnydeppwon,4
273,telford,4
274,pathetic,4
275,dv,4
276,enoughisenough,4
277,amberheardisaliar,4
278,abusers,4
279,google,4
280,criminal,4
281,equality,4
282,amberturd,4
283,waste,4
284,皇族,4
285,日本,4
286,東京,4
287,sexualviolence,4
288,roevwade,4
289,daddy,4
290,republicans,4
291,crimes,4
292,weaponizedrape,4
293,pandora,4
294,bjpfailsindia,4
295,lgbt,4
296,lgbtq,4
297,gbv,4
298,birthday,4
299,aclu,4
300,misogynist,4
301,sexism,4
302,crimesagainsthumanity,4
303,life,4
304,metoowomannft,4
305,pedophiles,4
306,anxiety,4
307,quoteoftheday,4
308,mental,3
309,sissy,3
310,rapeslut,3
311,humiliation,3
312,consumerrights,3
313,familycourt,3
314,hatecrime,3
315,philippine,3
316,myanmar,3
317,mormon,3
318,lds,3
319,cult,3
320,unitedshowbiz,3
321,extendduedates,3
322,incometaxportal,3
323,taxpayer,3
324,wasteoftime,3
325,sisterjoanchittister,3
326,stalking,3
327,wetoo,3
328,putinhitler,3
329,xinjiang,3
330,verbalabuse,3
331,pedophelia,3
332,fgm,3
333,united,3
334,pixiv,3
335,flipkart,3
336,sa,3
337,selfcare,3
338,bdsm,3
339,alone,3
340,theft,3
341,cumtribute,3
342,whore,3
343,teen,3
344,husband,3
345,scotus,3
346,defamation,3
347,christian,3
348,bondage,3
349,abortions,3
350,harrasement,3
351,marilynmanson,3
352,amberheardisanabuser,3
353,apologizetojohnnydepp,3
354,johnnydeppwins,3
355,boycottaquaman2,3
356,minamata,3
357,istandwithjohnnydepp,3
358,whereswaldman,3
359,hawaiinews,3
360,illegal,3
361,psychopaths,3
362,treason,3
363,disabilityrights,3
364,socialmedia,3
365,ableism,3
366,stoprape,3
367,micheledauber,3
368,mynameisaraxi,3
369,freedom,3
370,nyc,3
371,evanrachelwood,3
372,invasion,3
373,shameless,3
374,kriswu,3
375,justiceforkriswu,3
376,deshaunwatson,3
377,nsfwtw,3
378,popefrancis,3
379,警視庁,3
380,rights2022,3
381,successquotes,3
382,growthmindset,3
383,businessman,3
384,warcrimes,3
385,meguro,3
386,ohio,3
387,exploitation,3
388,gymjordan,3
389,votebluenomatterwho,3
390,climatecrisis,3
391,gang,3
392,shame,3
393,abortionrightsarehumanrights,3
394,democrats,3
395,johnfkennedy,3
396,ddlg,3
397,nsfw,3
398,gangbang,3
399,ageplay,3
400,marriagestrike,3
401,to,3
402,abusetalk,3
403,twitterchat,3
404,discussion,3
405,sextrafficking,3
406,amberheardisfinished,3
407,bilkisbetrayed,3
408,gujaratriots,3
409,bjpwithrapist,3
410,support,3
411,eu,3
412,michigan,3
413,racist,3
414,falseallegations,3
415,customerservice,3
416,animals,3
417,angelinajolie,3
418,woman,3
419,stopabuse,3
420,brazilian,3
421,vulnerable,3
422,nft,3
423,ethics,3
424,government,3
425,family,3
426,relationships,3
427,scoopthepoops,3
428,dimpymahendru,3
429,cheat,3
430,gangrape,3
431,amazon,3
432,neverfeartruth,3
433,customerfeedback,3
434,cum,3
435,newyork,3
436,gaslighting,3
437,dom,3
438,covid,3
439,poetry,3
440,writing,3
441,depression,3
442,corrupt,3
443,abusesurvivor,3
444,portscanning,3
445,sub,3
446,rhobh,3
447,houseofthedragon,2
448,sexual,2
449,aliar,2
450,freeuse,2
451,publicuse,2
452,exhibitionist,2
453,taboo,2
454,gooner,2
455,goonette,2
456,somnokink,2
457,sissyhypno,2
458,hentai,2
459,manipulation,2
460,society,2
461,perpetrators,2
462,inhumane,2
463,predatory,2
464,westworld,2
465,halifax,2
466,mtv,2
467,yedinaija,2
468,epstein,2
469,neurodivergent,2
470,actuallyautistic,2
471,audhd,2
472,adhd,2
473,criminalhoarding,2
474,spoonie,2
475,psychology,2
476,ridiculous,2
477,whitesupremacy,2
478,mepoo,2
479,sex_crime,2
480,useme,2
481,intimidation,2
482,alpha,2
483,beta,2
484,cocktribute,2
485,rate,2
486,cockrate,2
487,wankchat,2
488,wankbattle,2
489,chav,2
490,goon,2
491,edge,2
492,toxicrelationships,2
493,dvact,2
494,crpc125,2
495,maintenance,2
496,votepolitics,2
497,baby,2
498,travel,2
499,amberheardisahusbandbeater,2
500,hypocrites,2
501,cia,2
502,terrorism,2
503,patriarchy,2
504,education,2
505,integrity,2
506,wwe,2
507,smackdown,2
508,vincemcmahon,2
509,psychologicalabuse,2
510,emotionalabuse,2
511,homeless,2
512,injustice,2
513,roevswadeoverturned,2
514,saudi,2
515,wewant2live,2
516,womenrights,2
517,bangladesh,2
518,slavery,2
519,pedophile,2
520,netflix,2
521,cancelled,2
522,boyfriend,2
523,molested,2
524,ect,2
525,private,2
526,incarceration,2
527,protectwomen,2
528,evil,2
529,misandry,2
530,victimshaming,2
531,catholic,2
532,nooneisabovethelaw,2
533,ghislainemaxwell,2
534,lawyers,2
535,espionage,2
536,lockhimup,2
537,honourbasedabuse,2
538,forcedmarriage,2
539,youarenotalone,2
540,noexcuseforabuse,2
541,endviolenceagainstwomen,2
542,playyourpart,2
543,end,2
544,daretobedifferent,2
545,choosetochallenge,2
546,useyourvoice,2
547,raping,2
548,civilrights,2
549,womensrightsarehumanrights,2
550,misinformation,2
551,hate,2
552,amberhearddeservesprison,2
553,amberheardlsanabuser,2
554,molest,2
555,adultery,2
556,safety,2
557,homophobia,2
558,alllivesmatter,2
559,darvodepp,2
560,maritalrape,2
561,horses,2
562,freedomofspeech,2
