,Word,count,anger,sad,anx,posemo,negemo,tone,total_counts,emotion,negative_emotion,main_emotion
965,fashion,2,2.38,0.0,0.0,0.0,2.38,13.385,2,negemo,anger,anger
966,suspend,2,8.39,0.0,0.0,2.275,8.39,1.0,2,negemo,anger,anger
967,loving,2,4.865,2.78,2.085,9.719999999999999,9.719999999999999,25.77,2,posemo,anger,posemo
968,design,2,2.175,0.0,0.0,5.555,4.35,50.0,2,posemo,anger,posemo
969,sector,2,2.275,0.0,0.0,5.555,2.275,50.0,2,posemo,anger,posemo
970,wonderful,2,8.66,2.78,0.0,8.495,14.379999999999999,13.385,2,negemo,anger,anger
971,robbery,2,10.045,0.0,0.0,0.0,12.989999999999998,1.0,2,negemo,anger,anger
972,sensitivity,2,9.305,4.545,0.0,4.545,16.235,1.0,2,negemo,anger,anger
973,experienced,2,6.76,0.0,0.0,2.0,11.145,1.0,2,negemo,anger,anger
974,useless,2,5.265,5.755,0.0,3.125,14.145,1.0,2,negemo,sad,sad
975,idiot,2,18.18,0.0,0.0,0.0,18.18,1.0,2,negemo,anger,anger
976,die,2,6.925,0.0,2.38,9.42,9.305,48.405,2,posemo,anger,posemo
977,dis,2,6.824999999999999,2.63,0.0,0.0,9.455,1.21,2,negemo,anger,anger
978,cultural,2,4.654999999999999,2.275,0.0,11.58,9.2,60.79,2,posemo,anger,posemo
979,interest,2,0.0,0.0,0.0,15.215,0.0,99.0,2,posemo,anger,posemo
980,evil,2,15.045,0.0,0.0,0.0,23.39,1.0,2,negemo,anger,anger
981,horrible,2,0.0,0.0,5.05,1.925,5.05,13.385,2,negemo,anx,anx
982,set,2,11.905,0.0,2.38,0.0,21.43,1.0,2,negemo,anger,anger
983,sport,2,6.795,0.0,0.0,2.085,6.795,1.0,2,negemo,anger,anger
984,win,2,9.774999999999999,2.63,0.0,9.774999999999999,15.04,13.385,2,negemo,anger,anger
985,towards,2,2.78,0.0,0.0,4.545,7.324999999999999,13.385,2,negemo,anger,anger
986,action,2,2.175,0.0,0.0,0.0,7.129999999999999,1.0,2,negemo,anger,anger
987,steal,2,7.4399999999999995,0.0,0.0,5.265,12.245,1.0,2,negemo,anger,anger
988,credibility,2,4.865,0.0,0.0,2.085,4.865,13.385,2,negemo,anger,anger
989,ride,2,4.865,0.0,2.78,2.085,10.420000000000002,13.385,2,negemo,anger,anger
990,assume,2,5.4399999999999995,0.0,2.94,2.94,8.379999999999999,1.0,2,negemo,anger,anger
991,match,2,4.17,0.0,0.0,0.0,6.25,1.0,2,negemo,anger,anger
992,lawyer,2,6.695,0.0,0.0,0.0,12.945,1.0,2,negemo,anger,anger
993,football,2,3.125,0.0,0.0,8.39,6.25,50.0,2,posemo,anger,posemo
994,married,2,0.0,0.0,0.0,6.435,0.0,95.7,2,posemo,anger,posemo
995,answer,2,5.835,0.0,0.0,2.5,8.335,1.0,2,negemo,anger,anger
996,along,2,3.335,0.0,0.0,1.925,3.335,45.42,2,negemo,anger,anger
997,obvious,2,8.68,0.0,0.0,0.0,17.36,1.0,2,negemo,anger,anger
998,swing,2,5.57,0.0,2.94,2.94,8.51,1.0,2,negemo,anger,anger
999,dude,2,0.0,1.925,0.0,4.2,1.925,60.26,2,posemo,sad,posemo
1000,treatment,2,4.55,0.0,0.0,9.09,13.64,1.0,2,negemo,anger,anger
1001,loud,2,5.26,0.0,0.0,5.26,5.26,25.77,2,posemo,anger,posemo
1002,term,2,7.145,0.0,0.0,4.165,7.145,50.0,2,negemo,anger,anger
1003,stock,2,10.335,2.78,0.0,2.0,13.11,13.385,2,negemo,anger,anger
1004,waste,2,10.835,2.78,0.0,0.0,16.11,1.0,2,negemo,anger,anger
1005,movement,2,9.19,0.0,0.0,9.19,9.19,25.77,2,posemo,anger,posemo
1006,reflect,2,7.35,0.0,0.0,2.63,9.43,1.0,2,negemo,anger,anger
1007,tackle,1,5.88,0.0,0.0,5.88,5.88,25.77,1,posemo,anger,posemo
1008,perfectly,1,0.0,0.0,0.0,8.33,0.0,99.0,1,posemo,anger,posemo
1009,tinder,1,7.69,0.0,0.0,0.0,7.69,1.0,1,negemo,anger,anger
1010,amber,1,0.0,7.69,0.0,0.0,15.38,1.0,1,negemo,sad,sad
1011,guard,1,7.41,3.7,0.0,0.0,11.11,1.0,1,negemo,anger,anger
1012,purposely,1,5.26,0.0,0.0,0.0,5.26,1.0,1,negemo,anger,anger
1013,store,1,0.0,3.85,0.0,3.85,3.85,25.77,1,posemo,sad,posemo
1014,unite,1,4.0,0.0,0.0,0.0,4.0,1.0,1,negemo,anger,anger
1015,wolf,1,0.0,7.69,0.0,0.0,15.38,1.0,1,negemo,sad,sad
1016,fully,1,5.88,0.0,0.0,5.88,5.88,25.77,1,posemo,anger,posemo
1017,delete,1,4.55,0.0,0.0,0.0,4.55,1.0,1,negemo,anger,anger
1018,statistical,1,11.11,0.0,0.0,0.0,11.11,1.0,1,negemo,anger,anger
1019,tawn,1,0.0,7.69,0.0,0.0,15.38,1.0,1,negemo,sad,sad
1020,application,1,0.0,0.0,0.0,0.0,0.0,25.77,1,posemo,anger,posemo
1021,defamed,1,6.67,0.0,0.0,0.0,6.67,1.0,1,negemo,anger,anger
1022,outrageous,1,12.5,0.0,0.0,6.25,12.5,1.0,1,negemo,anger,anger
1023,declare,1,5.88,0.0,0.0,0.0,5.88,1.0,1,negemo,anger,anger
1024,otherwise,1,6.67,0.0,0.0,0.0,6.67,1.0,1,negemo,anger,anger
1025,appearance,1,0.0,0.0,0.0,0.0,0.0,25.77,1,posemo,anger,posemo
1026,relish,1,0.0,0.0,0.0,8.33,0.0,99.0,1,posemo,anger,posemo
1027,rank,1,6.67,0.0,0.0,0.0,6.67,1.0,1,negemo,anger,anger
1028,exemption,1,0.0,0.0,0.0,0.0,0.0,25.77,1,posemo,anger,posemo
1029,unoriginal,1,0.0,0.0,0.0,0.0,0.0,25.77,1,posemo,anger,posemo
1030,incapable,1,10.0,5.0,0.0,0.0,20.0,1.0,1,negemo,anger,anger
1031,advertising,1,5.88,0.0,0.0,11.76,5.88,98.87,1,posemo,anger,posemo
1032,prob,1,0.0,0.0,4.0,4.0,8.0,1.0,1,negemo,anx,anx
1033,rise,1,0.0,7.69,0.0,0.0,15.38,1.0,1,negemo,sad,sad
1034,multiple,1,0.0,0.0,4.0,4.0,8.0,1.0,1,negemo,anx,anx
1035,chicken,1,0.0,3.85,0.0,3.85,3.85,25.77,1,posemo,sad,posemo
